"fip","label","respop72015"
4005,"Coconino County, Arizona",139097
4007,"Gila County, Arizona",53159
4009,"Graham County, Arizona",37666
4011,"Greenlee County, Arizona",9529
4012,"La Paz County, Arizona",20152
4013,"Maricopa County, Arizona",4167947
4015,"Mohave County, Arizona",204737
4017,"Navajo County, Arizona",108277
4019,"Pima County, Arizona",1010025
4021,"Pinal County, Arizona",406584
4023,"Santa Cruz County, Arizona",46461
4025,"Yavapai County, Arizona",222255
4027,"Yuma County, Arizona",204275
5001,"Arkansas County, Arkansas",18433
5003,"Ashley County, Arkansas",20838
5005,"Baxter County, Arkansas",41053
5007,"Benton County, Arkansas",249672
5009,"Boone County, Arkansas",37222
5011,"Bradley County, Arkansas",11094
5013,"Calhoun County, Arkansas",5229
5015,"Carroll County, Arkansas",27704
5017,"Chicot County, Arkansas",11027
5019,"Clark County, Arkansas",22633
5021,"Clay County, Arkansas",15109
5023,"Cleburne County, Arkansas",25467
5025,"Cleveland County, Arkansas",8311
5027,"Columbia County, Arkansas",24114
5029,"Conway County, Arkansas",21019
5031,"Craighead County, Arkansas",104354
5033,"Crawford County, Arkansas",61703
5035,"Crittenden County, Arkansas",48963
5037,"Cross County, Arkansas",17284
5039,"Dallas County, Arkansas",7604
5041,"Desha County, Arkansas",11965
5043,"Drew County, Arkansas",18778
5045,"Faulkner County, Arkansas",121552
5047,"Franklin County, Arkansas",17702
5049,"Fulton County, Arkansas",12204
5051,"Garland County, Arkansas",97177
5053,"Grant County, Arkansas",18102
5055,"Greene County, Arkansas",44196
5057,"Hempstead County, Arkansas",22084
5059,"Hot Spring County, Arkansas",33426
5061,"Howard County, Arkansas",13300
5063,"Independence County, Arkansas",37052
5065,"Izard County, Arkansas",13445
5067,"Jackson County, Arkansas",17338
5069,"Jefferson County, Arkansas",71565
5071,"Johnson County, Arkansas",26141
5073,"Lafayette County, Arkansas",6996
5075,"Lawrence County, Arkansas",16779
5077,"Lee County, Arkansas",9650
5079,"Lincoln County, Arkansas",13820
5081,"Little River County, Arkansas",12472
5083,"Logan County, Arkansas",21714
5085,"Lonoke County, Arkansas",71645
5087,"Madison County, Arkansas",15767
5089,"Marion County, Arkansas",16185
5091,"Miller County, Arkansas",43908
5093,"Mississippi County, Arkansas",43738
5095,"Monroe County, Arkansas",7399
5097,"Montgomery County, Arkansas",8970
5099,"Nevada County, Arkansas",8558
5101,"Newton County, Arkansas",7913
5103,"Ouachita County, Arkansas",24358
5105,"Perry County, Arkansas",10189
5107,"Phillips County, Arkansas",19513
5109,"Pike County, Arkansas",10824
5111,"Poinsett County, Arkansas",24040
5113,"Polk County, Arkansas",20216
5115,"Pope County, Arkansas",63390
5117,"Prairie County, Arkansas",8291
5119,"Pulaski County, Arkansas",392664
5121,"Randolph County, Arkansas",17469
5123,"St. Francis County, Arkansas",26589
5125,"Saline County, Arkansas",117460
5127,"Scott County, Arkansas",10513
5129,"Searcy County, Arkansas",7869
5131,"Sebastian County, Arkansas",127780
5133,"Sevier County, Arkansas",17290
5135,"Sharp County, Arkansas",16912
5137,"Stone County, Arkansas",12456
5139,"Union County, Arkansas",40144
5141,"Van Buren County, Arkansas",16771
5143,"Washington County, Arkansas",225477
5145,"White County, Arkansas",79161
5147,"Woodruff County, Arkansas",6741
5149,"Yell County, Arkansas",21713
6001,"Alameda County, California",1638215
6003,"Alpine County, California",1110
6005,"Amador County, California",37001
6007,"Butte County, California",225411
6009,"Calaveras County, California",44828
6011,"Colusa County, California",21482
6013,"Contra Costa County, California",1126745
6015,"Del Norte County, California",27254
6017,"El Dorado County, California",184452
6019,"Fresno County, California",974861
6021,"Glenn County, California",28017
6023,"Humboldt County, California",135727
6025,"Imperial County, California",180191
6027,"Inyo County, California",18260
6029,"Kern County, California",882176
6031,"Kings County, California",150965
6033,"Lake County, California",64591
6035,"Lassen County, California",31345
6037,"Los Angeles County, California",10170292
6039,"Madera County, California",154998
6041,"Marin County, California",261221
6043,"Mariposa County, California",17531
6045,"Mendocino County, California",87649
6047,"Merced County, California",268455
6049,"Modoc County, California",8965
6051,"Mono County, California",13909
6053,"Monterey County, California",433898
6055,"Napa County, California",142456
6057,"Nevada County, California",98877
6059,"Orange County, California",3169776
6061,"Placer County, California",375391
6063,"Plumas County, California",18409
6065,"Riverside County, California",2361026
6067,"Sacramento County, California",1501335
6069,"San Benito County, California",58792
6071,"San Bernardino County, California",2128133
6073,"San Diego County, California",3299521
6075,"San Francisco County, California",864816
6077,"San Joaquin County, California",726106
6079,"San Luis Obispo County, California",281401
6081,"San Mateo County, California",765135
6083,"Santa Barbara County, California",444769
6085,"Santa Clara County, California",1918044
6087,"Santa Cruz County, California",274146
6089,"Shasta County, California",179533
6091,"Sierra County, California",2967
6093,"Siskiyou County, California",43554
6095,"Solano County, California",436092
6097,"Sonoma County, California",502146
6099,"Stanislaus County, California",538388
6101,"Sutter County, California",96463
6103,"Tehama County, California",63308
6105,"Trinity County, California",13069
6107,"Tulare County, California",459863
6109,"Tuolumne County, California",53709
6111,"Ventura County, California",850536
6113,"Yolo County, California",213016
6115,"Yuba County, California",74492
8001,"Adams County, Colorado",491337
8003,"Alamosa County, Colorado",16496
8005,"Arapahoe County, Colorado",631096
8007,"Archuleta County, Colorado",12352
8009,"Baca County, Colorado",3615
8011,"Bent County, Colorado",5830
8013,"Boulder County, Colorado",319372
8014,"Broomfield County, Colorado",65065
8015,"Chaffee County, Colorado",18658
8017,"Cheyenne County, Colorado",1829
8019,"Clear Creek County, Colorado",9303
8021,"Conejos County, Colorado",8130
8023,"Costilla County, Colorado",3584
8025,"Crowley County, Colorado",5562
8027,"Custer County, Colorado",4445
8029,"Delta County, Colorado",29979
8031,"Denver County, Colorado",682545
8033,"Dolores County, Colorado",1978
8035,"Douglas County, Colorado",322387
8037,"Eagle County, Colorado",53605
8039,"Elbert County, Colorado",24735
8041,"El Paso County, Colorado",674471
8043,"Fremont County, Colorado",46692
8045,"Garfield County, Colorado",58095
8047,"Gilpin County, Colorado",5828
8049,"Grand County, Colorado",14615
8051,"Gunnison County, Colorado",16067
8053,"Hinsdale County, Colorado",774
8055,"Huerfano County, Colorado",6492
8057,"Jackson County, Colorado",1356
8059,"Jefferson County, Colorado",565524
8061,"Kiowa County, Colorado",1423
8063,"Kit Carson County, Colorado",7758
8065,"Lake County, Colorado",7485
8067,"La Plata County, Colorado",54688
8069,"Larimer County, Colorado",333577
8071,"Las Animas County, Colorado",14058
8073,"Lincoln County, Colorado",5557
8075,"Logan County, Colorado",22036
8077,"Mesa County, Colorado",148513
8079,"Mineral County, Colorado",726
8081,"Moffat County, Colorado",12937
8083,"Montezuma County, Colorado",26168
8085,"Montrose County, Colorado",40946
8087,"Morgan County, Colorado",28360
8089,"Otero County, Colorado",18343
8091,"Ouray County, Colorado",4691
8093,"Park County, Colorado",16510
8095,"Phillips County, Colorado",4349
8097,"Pitkin County, Colorado",17787
8099,"Prowers County, Colorado",11954
8101,"Pueblo County, Colorado",163591
8103,"Rio Blanco County, Colorado",6571
8105,"Rio Grande County, Colorado",11543
8107,"Routt County, Colorado",24130
8109,"Saguache County, Colorado",6251
8111,"San Juan County, Colorado",701
8113,"San Miguel County, Colorado",7879
8115,"Sedgwick County, Colorado",2399
8117,"Summit County, Colorado",30257
8119,"Teller County, Colorado",23385
8121,"Washington County, Colorado",4864
8123,"Weld County, Colorado",285174
8125,"Yuma County, Colorado",10146
9001,"Fairfield County, Connecticut",948053
9003,"Hartford County, Connecticut",895841
9005,"Litchfield County, Connecticut",183603
9007,"Middlesex County, Connecticut",164063
9009,"New Haven County, Connecticut",859470
9011,"New London County, Connecticut",271863
9013,"Tolland County, Connecticut",151420
9015,"Windham County, Connecticut",116573
10001,"Kent County, Delaware",173533
10003,"New Castle County, Delaware",556779
10005,"Sussex County, Delaware",215622
11001,"District of Columbia, District of Columbia",672228
12001,"Alachua County, Florida",259964
12003,"Baker County, Florida",27420
12005,"Bay County, Florida",181635
12007,"Bradford County, Florida",26928
12009,"Brevard County, Florida",568088
12011,"Broward County, Florida",1896425
12013,"Calhoun County, Florida",14462
12015,"Charlotte County, Florida",173115
12017,"Citrus County, Florida",141058
12019,"Clay County, Florida",203967
12021,"Collier County, Florida",357305
12023,"Columbia County, Florida",68348
12027,"DeSoto County, Florida",35458
12029,"Dixie County, Florida",16203
12031,"Duval County, Florida",913010
12033,"Escambia County, Florida",311003
12035,"Flagler County, Florida",105392
12037,"Franklin County, Florida",11761
12039,"Gadsden County, Florida",46036
12041,"Gilchrist County, Florida",17199
12043,"Glades County, Florida",13670
12045,"Gulf County, Florida",15871
12047,"Hamilton County, Florida",14295
12049,"Hardee County, Florida",27502
12051,"Hendry County, Florida",39119
12053,"Hernando County, Florida",178439
12055,"Highlands County, Florida",99491
12057,"Hillsborough County, Florida",1349050
12059,"Holmes County, Florida",19324
12061,"Indian River County, Florida",147919
12063,"Jackson County, Florida",48599
12065,"Jefferson County, Florida",14081
12067,"Lafayette County, Florida",8663
12069,"Lake County, Florida",325875
12071,"Lee County, Florida",701982
12073,"Leon County, Florida",286272
12075,"Levy County, Florida",39832
12077,"Liberty County, Florida",8331
12079,"Madison County, Florida",18408
12081,"Manatee County, Florida",363369
12083,"Marion County, Florida",343254
12085,"Martin County, Florida",156283
12086,"Miami-Dade County, Florida",2693117
12087,"Monroe County, Florida",77482
12089,"Nassau County, Florida",78444
12091,"Okaloosa County, Florida",198664
12093,"Okeechobee County, Florida",39469
12095,"Orange County, Florida",1288126
12097,"Osceola County, Florida",323993
12099,"Palm Beach County, Florida",1422789
12101,"Pasco County, Florida",497909
12103,"Pinellas County, Florida",949827
12105,"Polk County, Florida",650092
12107,"Putnam County, Florida",72023
12109,"St. Johns County, Florida",226640
12111,"St. Lucie County, Florida",298563
12113,"Santa Rosa County, Florida",167040
12115,"Sarasota County, Florida",405549
12117,"Seminole County, Florida",449144
12119,"Sumter County, Florida",118891
12121,"Suwannee County, Florida",43760
12123,"Taylor County, Florida",22493
12125,"Union County, Florida",15234
12127,"Volusia County, Florida",517887
12129,"Wakulla County, Florida",31535
12131,"Walton County, Florida",63508
12133,"Washington County, Florida",24687
13001,"Appling County, Georgia",18454
13003,"Atkinson County, Georgia",8398
13005,"Bacon County, Georgia",11299
13007,"Baker County, Georgia",3180
13009,"Baldwin County, Georgia",45459
13011,"Banks County, Georgia",18495
13013,"Barrow County, Georgia",75370
13015,"Bartow County, Georgia",102747
13017,"Ben Hill County, Georgia",17403
13019,"Berrien County, Georgia",18963
13021,"Bibb County, Georgia",153721
13023,"Bleckley County, Georgia",12243
13025,"Brantley County, Georgia",18455
13027,"Brooks County, Georgia",15658
13029,"Bryan County, Georgia",35137
13031,"Bulloch County, Georgia",72651
13033,"Burke County, Georgia",22745
13035,"Butts County, Georgia",23593
13037,"Calhoun County, Georgia",6479
13039,"Camden County, Georgia",52102
13043,"Candler County, Georgia",10886
13045,"Carroll County, Georgia",114545
13047,"Catoosa County, Georgia",66050
13049,"Charlton County, Georgia",12965
13051,"Chatham County, Georgia",286956
13053,"Chattahoochee County, Georgia",11368
13055,"Chattooga County, Georgia",24922
13057,"Cherokee County, Georgia",235900
13059,"Clarke County, Georgia",123912
13061,"Clay County, Georgia",3141
13063,"Clayton County, Georgia",273955
13065,"Clinch County, Georgia",6893
13067,"Cobb County, Georgia",741334
13069,"Coffee County, Georgia",43108
13071,"Colquitt County, Georgia",45844
13073,"Columbia County, Georgia",144052
13075,"Cook County, Georgia",17124
13077,"Coweta County, Georgia",138427
13079,"Crawford County, Georgia",12388
13081,"Crisp County, Georgia",22881
13083,"Dade County, Georgia",16264
13085,"Dawson County, Georgia",23312
13087,"Decatur County, Georgia",27174
13089,"DeKalb County, Georgia",734871
13091,"Dodge County, Georgia",20882
13093,"Dooly County, Georgia",14035
13095,"Dougherty County, Georgia",91332
13097,"Douglas County, Georgia",140733
13099,"Early County, Georgia",10575
13101,"Echols County, Georgia",4040
13103,"Effingham County, Georgia",57106
13105,"Elbert County, Georgia",19364
13107,"Emanuel County, Georgia",22708
13109,"Evans County, Georgia",10787
13111,"Fannin County, Georgia",24303
13113,"Fayette County, Georgia",110714
13115,"Floyd County, Georgia",96504
13117,"Forsyth County, Georgia",212438
13119,"Franklin County, Georgia",22311
13121,"Fulton County, Georgia",1010562
13123,"Gilmer County, Georgia",29400
13125,"Glascock County, Georgia",3065
13127,"Glynn County, Georgia",83579
13129,"Gordon County, Georgia",56574
13131,"Grady County, Georgia",25205
13133,"Greene County, Georgia",16710
13135,"Gwinnett County, Georgia",895823
13137,"Habersham County, Georgia",43996
13139,"Hall County, Georgia",193535
13141,"Hancock County, Georgia",8551
13143,"Haralson County, Georgia",28854
13145,"Harris County, Georgia",33381
13147,"Hart County, Georgia",25534
13149,"Heard County, Georgia",11539
13151,"Henry County, Georgia",217739
13153,"Houston County, Georgia",150033
13155,"Irwin County, Georgia",9245
13157,"Jackson County, Georgia",63360
13159,"Jasper County, Georgia",13635
13161,"Jeff Davis County, Georgia",14920
13163,"Jefferson County, Georgia",16106
13165,"Jenkins County, Georgia",8957
13167,"Johnson County, Georgia",9656
13169,"Jones County, Georgia",28494
13171,"Lamar County, Georgia",18201
13173,"Lanier County, Georgia",10312
13175,"Laurens County, Georgia",47731
13177,"Lee County, Georgia",29202
13179,"Liberty County, Georgia",62467
13181,"Lincoln County, Georgia",7673
13183,"Long County, Georgia",17731
13185,"Lowndes County, Georgia",112865
13187,"Lumpkin County, Georgia",31408
13189,"McDuffie County, Georgia",21540
13191,"McIntosh County, Georgia",13969
13193,"Macon County, Georgia",13632
13195,"Madison County, Georgia",28441
13197,"Marion County, Georgia",8761
13199,"Meriwether County, Georgia",21190
13201,"Miller County, Georgia",5854
13205,"Mitchell County, Georgia",22574
13207,"Monroe County, Georgia",27103
13209,"Montgomery County, Georgia",8951
13211,"Morgan County, Georgia",18046
13213,"Murray County, Georgia",39565
13215,"Muscogee County, Georgia",200579
13217,"Newton County, Georgia",105473
13219,"Oconee County, Georgia",35965
13221,"Oglethorpe County, Georgia",14871
13223,"Paulding County, Georgia",152238
13225,"Peach County, Georgia",26720
13227,"Pickens County, Georgia",30309
13229,"Pierce County, Georgia",19103
13231,"Pike County, Georgia",17941
13233,"Polk County, Georgia",41524
13235,"Pulaski County, Georgia",11396
13237,"Putnam County, Georgia",21353
13239,"Quitman County, Georgia",2302
13241,"Rabun County, Georgia",16281
13243,"Randolph County, Georgia",7193
13245,"Richmond County, Georgia",201793
13247,"Rockdale County, Georgia",88856
13249,"Schley County, Georgia",5168
13251,"Screven County, Georgia",14162
13253,"Seminole County, Georgia",8647
13255,"Spalding County, Georgia",64051
13257,"Stephens County, Georgia",25586
13259,"Stewart County, Georgia",5851
13261,"Sumter County, Georgia",30779
13263,"Talbot County, Georgia",6337
13265,"Taliaferro County, Georgia",1639
13267,"Tattnall County, Georgia",25229
13269,"Taylor County, Georgia",8330
13271,"Telfair County, Georgia",16400
13273,"Terrell County, Georgia",9113
13275,"Thomas County, Georgia",45063
13277,"Tift County, Georgia",40764
13279,"Toombs County, Georgia",27241
13281,"Towns County, Georgia",11182
13283,"Treutlen County, Georgia",6785
13285,"Troup County, Georgia",69763
13287,"Turner County, Georgia",8214
13289,"Twiggs County, Georgia",8390
13291,"Union County, Georgia",22267
13293,"Upson County, Georgia",26368
13295,"Walker County, Georgia",68066
13297,"Walton County, Georgia",88399
13299,"Ware County, Georgia",35370
13301,"Warren County, Georgia",5460
13303,"Washington County, Georgia",20816
13305,"Wayne County, Georgia",29534
13307,"Webster County, Georgia",2648
13309,"Wheeler County, Georgia",7903
13311,"White County, Georgia",28319
13313,"Whitfield County, Georgia",104216
13315,"Wilcox County, Georgia",8857
13317,"Wilkes County, Georgia",9867
13319,"Wilkinson County, Georgia",9155
13321,"Worth County, Georgia",20699
15001,"Hawaii County, Hawaii",196428
15003,"Honolulu County, Hawaii",998714
15005,"Kalawao County, Hawaii",89
15007,"Kauai County, Hawaii",71735
15009,"Maui County, Hawaii",164637
16001,"Ada County, Idaho",434211
16003,"Adams County, Idaho",3843
16005,"Bannock County, Idaho",83744
16007,"Bear Lake County, Idaho",5922
16009,"Benewah County, Idaho",9052
16011,"Bingham County, Idaho",44990
16013,"Blaine County, Idaho",21592
16015,"Boise County, Idaho",7058
16017,"Bonner County, Idaho",41859
16019,"Bonneville County, Idaho",110089
16021,"Boundary County, Idaho",11318
16023,"Butte County, Idaho",2501
16025,"Camas County, Idaho",1066
16027,"Canyon County, Idaho",207478
16029,"Caribou County, Idaho",6770
16031,"Cassia County, Idaho",23506
16033,"Clark County, Idaho",880
16035,"Clearwater County, Idaho",8496
16037,"Custer County, Idaho",4087
16039,"Elmore County, Idaho",25876
16041,"Franklin County, Idaho",13074
16043,"Fremont County, Idaho",12819
16045,"Gem County, Idaho",16852
16047,"Gooding County, Idaho",15284
16049,"Idaho County, Idaho",16272
16051,"Jefferson County, Idaho",27157
16053,"Jerome County, Idaho",22814
16055,"Kootenai County, Idaho",150346
16057,"Latah County, Idaho",38778
16059,"Lemhi County, Idaho",7735
16061,"Lewis County, Idaho",3789
16063,"Lincoln County, Idaho",5297
16065,"Madison County, Idaho",38273
16067,"Minidoka County, Idaho",20461
16069,"Nez Perce County, Idaho",40048
16071,"Oneida County, Idaho",4281
16073,"Owyhee County, Idaho",11310
16075,"Payette County, Idaho",22896
16077,"Power County, Idaho",7648
16079,"Shoshone County, Idaho",12432
16081,"Teton County, Idaho",10564
16083,"Twin Falls County, Idaho",82375
16085,"Valley County, Idaho",10103
16087,"Washington County, Idaho",9984
17001,"Adams County, Illinois",67013
17003,"Alexander County, Illinois",6780
17005,"Bond County, Illinois",16950
17007,"Boone County, Illinois",53585
17009,"Brown County, Illinois",6829
17011,"Bureau County, Illinois",33587
17013,"Calhoun County, Illinois",4899
17015,"Carroll County, Illinois",14616
17017,"Cass County, Illinois",12847
17019,"Champaign County, Illinois",208861
17021,"Christian County, Illinois",33642
17023,"Clark County, Illinois",15979
17025,"Clay County, Illinois",13428
17027,"Clinton County, Illinois",37786
17029,"Coles County, Illinois",52521
17031,"Cook County, Illinois",5238216
17033,"Crawford County, Illinois",19414
17035,"Cumberland County, Illinois",10898
17037,"DeKalb County, Illinois",104352
17039,"De Witt County, Illinois",16247
17041,"Douglas County, Illinois",19823
17043,"DuPage County, Illinois",933736
17045,"Edgar County, Illinois",17664
17047,"Edwards County, Illinois",6534
17049,"Effingham County, Illinois",34371
17051,"Fayette County, Illinois",22043
17053,"Ford County, Illinois",13736
17055,"Franklin County, Illinois",39485
17057,"Fulton County, Illinois",35699
17059,"Gallatin County, Illinois",5265
17061,"Greene County, Illinois",13241
17063,"Grundy County, Illinois",50541
17065,"Hamilton County, Illinois",8200
17067,"Hancock County, Illinois",18543
17069,"Hardin County, Illinois",4135
17071,"Henderson County, Illinois",6995
17073,"Henry County, Illinois",49489
17075,"Iroquois County, Illinois",28672
17077,"Jackson County, Illinois",59362
17079,"Jasper County, Illinois",9607
17081,"Jefferson County, Illinois",38353
17083,"Jersey County, Illinois",22372
17085,"Jo Daviess County, Illinois",22086
17087,"Johnson County, Illinois",12762
17089,"Kane County, Illinois",530847
17091,"Kankakee County, Illinois",110879
17093,"Kendall County, Illinois",123355
17095,"Knox County, Illinois",51441
17097,"Lake County, Illinois",703910
17099,"LaSalle County, Illinois",111333
17101,"Lawrence County, Illinois",16491
17103,"Lee County, Illinois",34584
17105,"Livingston County, Illinois",36671
17107,"Logan County, Illinois",29494
17109,"McDonough County, Illinois",31333
17111,"McHenry County, Illinois",307343
17113,"McLean County, Illinois",173166
17115,"Macon County, Illinois",107303
17117,"Macoupin County, Illinois",46045
17119,"Madison County, Illinois",266209
17121,"Marion County, Illinois",38339
17123,"Marshall County, Illinois",11982
17125,"Mason County, Illinois",13701
17127,"Massac County, Illinois",14766
17129,"Menard County, Illinois",12444
17131,"Mercer County, Illinois",15858
17133,"Monroe County, Illinois",33879
17135,"Montgomery County, Illinois",28898
17137,"Morgan County, Illinois",34828
17139,"Moultrie County, Illinois",14931
17141,"Ogle County, Illinois",51659
17143,"Peoria County, Illinois",186221
17145,"Perry County, Illinois",21543
17147,"Piatt County, Illinois",16387
17149,"Pike County, Illinois",15989
17151,"Pope County, Illinois",4226
17153,"Pulaski County, Illinois",5678
17155,"Putnam County, Illinois",5644
17157,"Randolph County, Illinois",32852
17159,"Richland County, Illinois",16029
17161,"Rock Island County, Illinois",146133
17163,"St. Clair County, Illinois",264052
17165,"Saline County, Illinois",24548
17167,"Sangamon County, Illinois",198712
17169,"Schuyler County, Illinois",7032
17171,"Scott County, Illinois",5092
17173,"Shelby County, Illinois",21775
17175,"Stark County, Illinois",5788
17177,"Stephenson County, Illinois",45749
17179,"Tazewell County, Illinois",134800
17181,"Union County, Illinois",17408
17183,"Vermilion County, Illinois",79282
17185,"Wabash County, Illinois",11542
17187,"Warren County, Illinois",17527
17189,"Washington County, Illinois",14270
17191,"Wayne County, Illinois",16423
17193,"White County, Illinois",14327
17195,"Whiteside County, Illinois",57079
17197,"Will County, Illinois",687263
17199,"Williamson County, Illinois",67466
17201,"Winnebago County, Illinois",287078
17203,"Woodford County, Illinois",39227
18001,"Adams County, Indiana",34980
18003,"Allen County, Indiana",368450
18005,"Bartholomew County, Indiana",81162
18007,"Benton County, Indiana",8681
18009,"Blackford County, Indiana",12298
18011,"Boone County, Indiana",63344
18013,"Brown County, Indiana",14977
18015,"Carroll County, Indiana",19856
18017,"Cass County, Indiana",37979
18019,"Clark County, Indiana",115371
18021,"Clay County, Indiana",26503
18023,"Clinton County, Indiana",32609
18025,"Crawford County, Indiana",10483
18027,"Daviess County, Indiana",32906
18029,"Dearborn County, Indiana",49455
18031,"Decatur County, Indiana",26521
18033,"DeKalb County, Indiana",42589
18035,"Delaware County, Indiana",116852
18037,"Dubois County, Indiana",42461
18039,"Elkhart County, Indiana",203474
18041,"Fayette County, Indiana",23434
18043,"Floyd County, Indiana",76778
18045,"Fountain County, Indiana",16591
18047,"Franklin County, Indiana",22872
18049,"Fulton County, Indiana",20315
18051,"Gibson County, Indiana",33775
18053,"Grant County, Indiana",67979
18055,"Greene County, Indiana",32441
18057,"Hamilton County, Indiana",309697
18059,"Hancock County, Indiana",72520
18061,"Harrison County, Indiana",39578
18063,"Hendricks County, Indiana",158192
18065,"Henry County, Indiana",48985
18067,"Howard County, Indiana",82556
18069,"Huntington County, Indiana",36630
18071,"Jackson County, Indiana",44069
18073,"Jasper County, Indiana",33470
18075,"Jay County, Indiana",21121
18077,"Jefferson County, Indiana",32416
18079,"Jennings County, Indiana",27897
18081,"Johnson County, Indiana",149633
18083,"Knox County, Indiana",37927
18085,"Kosciusko County, Indiana",78620
18087,"LaGrange County, Indiana",38809
18089,"Lake County, Indiana",487865
18091,"LaPorte County, Indiana",110884
18093,"Lawrence County, Indiana",45495
18095,"Madison County, Indiana",129723
18097,"Marion County, Indiana",939020
18099,"Marshall County, Indiana",46857
18101,"Martin County, Indiana",10226
18103,"Miami County, Indiana",35862
18105,"Monroe County, Indiana",144705
18107,"Montgomery County, Indiana",38227
18109,"Morgan County, Indiana",69648
18111,"Newton County, Indiana",14008
18113,"Noble County, Indiana",47733
18115,"Ohio County, Indiana",5938
18117,"Orange County, Indiana",19605
18119,"Owen County, Indiana",20872
18121,"Parke County, Indiana",16901
18123,"Perry County, Indiana",19347
18125,"Pike County, Indiana",12594
18127,"Porter County, Indiana",167688
18129,"Posey County, Indiana",25512
18131,"Pulaski County, Indiana",12889
18133,"Putnam County, Indiana",37585
18135,"Randolph County, Indiana",25172
18137,"Ripley County, Indiana",28701
18139,"Rush County, Indiana",16672
18141,"St. Joseph County, Indiana",268441
18143,"Scott County, Indiana",23744
18145,"Shelby County, Indiana",44478
18147,"Spencer County, Indiana",20715
18149,"Starke County, Indiana",22958
18151,"Steuben County, Indiana",34372
18153,"Sullivan County, Indiana",20928
